district,nitrogen,phosphorus,potassium,temperature,ph,rainfall,label,yield,area,season,humidity,irrigation_type,soil_type,year_actual
8,127.92,63.07,41.32,22.38,5.96,1097.51,RICE,0.01,28386.34,2,85.06,2,2,2012
29,151.71,72.94,76.06,30.74,6.56,1254.77,BANANA,0.561871,24800.52,3,75.2,3,0,2018
32,109.26,69.41,57.12,25.4,6.24,684.92,MAIZE,0.099635,37407.16,4,78.04,1,0,2020
34,140.81,72.68,82.58,34.91,6.16,1985.91,SUGARCANE,0.125332,26843.32,2,55.63,2,1,2011
7,20.33,55.82,53.79,28.23,6.8,534.55,BLACKGRAM,0.078049,11659.41,2,55.44,1,0,2023
20,120.89,62.85,55.64,30.73,7.04,767.5,MAIZE,0.01,22998.04,3,68.79,1,2,2014
28,88.28,54.37,48.12,33.21,6.9,530.37,BAJRA,0.06141,11102.33,4,53.53,1,1,2022
29,37.47,52.75,55.6,28.5,6.74,505.68,GROUNDNUT,0.012981,44785.86,4,60.98,0,4,2021
24,31.55,60.77,59.98,24.59,6.64,459.91,GROUNDNUT,0.022536,33525.05,2,69.6,0,4,2016
9,27.15,75.66,49.12,25.9,6.31,566.81,SOYABEAN,0.047617,9512.39,2,69.82,0,1,2020
20,100.89,54.65,51.25,33.75,6.35,669.2,JOWAR,0.035721,21055.78,2,38.24,1,0,2023
7,31.41,56.01,43.24,26.41,7.46,440.56,LENTIL,0.029837,19504.49,1,55.39,0,3,2022
24,100.07,62.3,87.79,27.71,7.25,607.11,GRAPES,0.017745,31696.51,1,61.55,2,4,2016
5,145.53,72.3,68.95,26.25,6.52,1168.92,TURMERIC,0.196291,32698.43,1,86.5,2,2,2016
5,36.03,58.73,47.62,16.6,7.91,412.97,LENTIL,0.01,39938.64,4,42.73,2,4,2020
7,126.86,68.01,52.57,10.28,6.41,348.26,WHEAT,0.01,14950.52,3,47.84,1,0,2014
8,24.56,53.12,63.19,28.6,6.5,837.29,GROUNDNUT,0.04365,36383.8,4,73.31,1,3,2011
11,81.66,53.17,54.6,33.74,6.17,641.47,JOWAR,0.02189,8014.04,3,38.09,0,1,2014
20,23.93,59.65,36.16,20.45,7.62,455.16,LENTIL,0.076828,18746.07,3,57.79,0,3,2017
1,22.17,78.63,58.29,30.52,6.92,637.43,SOYABEAN,0.01,37940.65,3,55.93,0,4,2013
3,33.07,42.53,30.18,22.92,6.04,560.68,GRAM,0.01,31264.03,2,36.56,0,4,2012
30,156.49,60.68,76.67,27.8,6.15,1042.11,SUGARCANE,0.627183,31250.3,3,63.65,3,1,2019
28,31.75,43.18,51.74,25.74,7.12,610.71,BLACKGRAM,0.051033,33101.41,4,55.6,0,2,2017
5,99.83,53.22,41.05,29.43,7.12,656.61,JOWAR,0.035213,24716.98,3,33.76,0,0,2022
16,93.68,62.34,70.92,30.11,7.44,769.33,GRAPES,0.024199,17005.95,3,52.21,4,3,2010
35,21.29,44.0,47.63,22.5,7.18,426.87,GRAM,0.017807,42500.91,4,50.96,0,3,2022
4,39.91,54.17,53.65,34.24,6.78,683.75,GROUNDNUT,0.01,19541.31,2,73.0,0,3,2021
34,131.34,64.65,63.76,22.56,7.56,632.55,COTTON,0.054,42831.67,2,47.72,1,0,2017
5,123.44,56.33,58.03,31.04,5.99,1943.99,RICE,0.143941,5995.78,1,85.57,2,1,2015
14,34.16,72.32,46.27,31.78,6.04,809.66,SOYABEAN,0.017583,43406.03,4,49.6,0,1,2017
6,101.99,54.68,57.71,20.42,6.67,417.12,ONION,0.172272,47217.77,2,62.93,2,1,2012
14,138.99,67.84,61.31,31.25,7.98,1093.53,COTTON,0.071448,36212.88,4,68.36,1,1,2020
21,119.87,66.63,61.86,25.4,6.55,657.04,MAIZE,0.145376,18529.79,3,56.45,2,0,2015
3,130.79,64.75,84.92,28.89,6.11,1700.91,SUGARCANE,0.958489,29582.31,3,68.64,4,1,2020
26,120.72,63.91,46.51,27.69,6.8,876.83,MAIZE,0.088699,8959.46,2,45.67,2,0,2010
35,159.36,84.67,68.74,28.1,7.42,1654.39,BANANA,0.899536,36043.25,1,89.59,4,0,2011
6,23.99,64.36,59.21,28.49,6.87,628.68,SOYABEAN,0.038803,40597.79,3,55.66,1,2,2021
12,23.9,60.52,52.95,32.03,6.16,1123.94,GROUNDNUT,0.027652,20825.18,4,53.69,0,4,2020
4,15.39,42.98,39.33,28.06,7.25,393.87,MOTHBEANS,0.014644,31701.13,2,60.38,0,0,2018
6,35.26,58.09,46.89,17.3,7.53,820.22,LENTIL,0.01,29566.34,2,67.69,0,3,2021
12,144.22,77.46,84.98,22.69,7.3,1059.78,SUGARCANE,0.144006,27163.87,3,58.06,2,1,2018
20,34.49,53.42,38.67,15.24,7.23,488.82,GRAM,0.016807,37817.79,4,55.03,1,2,2020
33,106.78,52.08,49.55,27.61,7.0,361.11,JOWAR,0.049455,11405.04,3,45.19,1,0,2023
24,87.83,53.33,43.6,35.19,7.29,511.93,BAJRA,0.01,26984.75,4,45.58,0,0,2012
24,120.11,66.62,56.86,24.48,6.74,794.06,MAIZE,0.083684,26507.18,3,77.66,2,0,2021
28,29.6,41.96,45.38,18.75,6.53,493.83,LENTIL,0.104188,16377.41,3,47.37,0,3,2018
29,81.68,67.22,70.66,25.79,6.67,980.48,ONION,0.301348,14226.1,1,61.13,0,2,2020
1,125.69,56.85,47.67,27.31,6.89,438.77,MAIZE,0.057559,46925.3,1,65.5,1,1,2012
17,31.18,56.04,53.67,31.29,6.95,776.4,GROUNDNUT,0.013669,5936.35,3,63.46,0,4,2019
31,35.52,55.4,56.38,23.28,6.04,882.09,GROUNDNUT,0.024091,23920.43,1,52.36,0,3,2019
14,126.98,58.24,58.36,33.47,6.95,1316.83,RICE,0.019918,48251.28,1,84.33,3,1,2012
5,108.48,69.76,68.59,20.3,6.37,409.93,COTTON,0.01,17223.57,3,55.01,1,0,2014
12,92.26,56.78,63.17,20.26,6.5,365.1,ONION,0.085751,41406.49,4,44.21,2,1,2023
31,89.65,56.94,79.46,15.66,6.32,860.39,GRAPES,0.017897,49899.63,4,57.14,4,3,2019
10,12.61,44.0,32.14,36.01,7.99,366.65,MOTHBEANS,0.01,36767.96,4,45.61,2,1,2014
25,111.6,77.18,88.8,17.74,5.93,462.63,POTATO,0.147629,38899.65,2,62.68,3,1,2018
31,98.79,56.22,84.04,24.74,6.09,467.4,GRAPES,0.028173,45535.26,1,47.2,2,3,2021
31,131.22,59.46,63.62,33.33,6.31,451.97,COTTON,0.022945,4025.22,1,71.74,3,0,2023
6,127.44,51.01,68.88,33.98,6.06,812.7,COTTON,0.01,48403.58,1,59.43,2,0,2019
1,32.84,50.31,56.87,32.07,6.49,1070.83,GROUNDNUT,0.034947,6955.34,2,46.89,0,3,2010
22,116.46,61.9,51.62,26.2,6.3,646.55,MAIZE,0.086361,32644.89,3,57.48,2,1,2011
5,123.06,67.38,68.88,25.87,6.03,1472.01,TURMERIC,0.436426,38597.42,4,78.07,2,2,2013
11,36.44,63.22,40.32,29.62,6.25,503.6,SOYABEAN,0.01232,23034.12,1,72.72,0,1,2022
2,88.72,60.13,89.99,30.17,7.18,563.4,GRAPES,0.022216,26705.83,3,36.78,3,2,2011
22,24.08,51.72,32.65,21.55,7.49,714.11,LENTIL,0.051781,43188.3,3,41.81,0,4,2018
24,114.79,61.46,43.43,16.28,6.74,496.28,WHEAT,0.064097,15958.28,1,58.83,1,0,2011
2,121.66,74.25,62.67,29.57,6.21,1626.33,TURMERIC,0.18484,34780.57,1,89.19,2,3,2022
30,103.19,41.5,53.22,25.54,6.17,644.2,JOWAR,0.036447,24426.36,4,59.12,1,0,2022
31,130.04,65.8,78.65,27.61,6.16,1859.73,SUGARCANE,0.883284,22746.6,4,59.1,3,2,2022
29,24.24,34.27,22.12,28.64,7.03,525.16,MOTHBEANS,0.01,30640.2,2,56.1,0,0,2016
5,132.31,80.09,74.69,30.74,6.18,1064.83,BANANA,0.01,44385.12,3,61.42,3,1,2019
30,29.35,56.02,37.16,24.39,7.46,717.87,LENTIL,0.048088,42008.34,2,48.33,2,3,2020
2,128.64,65.17,83.42,21.69,5.72,636.5,POTATO,0.148852,41202.38,2,78.07,0,0,2014
5,140.2,71.02,78.55,29.21,6.97,1868.45,SUGARCANE,1.422439,39361.15,3,69.65,1,2,2021
22,137.52,66.66,65.1,28.55,5.81,1136.63,TURMERIC,0.01,6358.06,3,76.32,3,2,2023
1,132.73,63.06,74.94,26.53,7.3,1797.27,SUGARCANE,0.921894,49742.47,1,55.3,2,3,2018
34,28.05,31.04,23.73,29.87,6.97,420.03,MOTHBEANS,0.01,19663.08,4,38.3,0,0,2011
18,30.23,50.56,47.73,18.78,7.23,507.82,GRAM,0.0125,45993.97,2,46.16,1,3,2016
14,113.0,63.2,51.94,25.0,6.5,730.32,MAIZE,0.0732,26866.77,2,67.5,1,0,2015
3,12.05,45.98,36.41,27.47,6.83,450.12,MOTHBEANS,0.01,45819.81,1,63.15,0,1,2022
25,116.25,65.99,72.41,32.36,6.75,414.81,GRAPES,0.036966,13903.48,2,49.59,4,3,2023
8,106.07,62.68,89.43,18.07,5.93,972.44,POTATO,0.12892,14278.64,1,54.29,3,0,2012
12,23.68,46.2,44.27,20.7,7.83,461.64,GRAM,0.021714,10590.6,3,40.11,2,4,2017
33,28.92,43.51,47.98,16.61,7.07,486.41,GRAM,0.01,2418.41,3,45.25,3,4,2019
6,89.67,42.37,51.46,29.21,6.75,342.55,BAJRA,0.029847,7430.75,4,30.69,0,1,2013
13,116.57,56.42,56.51,25.76,6.73,1199.56,RICE,0.078606,17243.15,3,83.96,3,2,2015
6,12.74,35.78,27.35,27.76,7.16,357.39,MOTHBEANS,0.01,49491.39,4,45.76,0,0,2018
13,28.66,52.31,46.31,30.95,6.93,694.93,BLACKGRAM,0.01,16182.39,1,67.06,0,3,2011
31,35.86,47.15,48.05,25.07,7.76,550.72,LENTIL,0.057938,15203.37,2,69.67,0,3,2011
24,29.18,44.0,33.54,27.31,7.08,580.77,GRAM,0.01,39031.79,3,58.01,2,1,2020
16,88.95,58.01,64.39,22.95,6.42,653.56,ONION,0.254424,10827.45,3,50.27,3,1,2023
29,80.26,40.21,52.44,36.95,6.32,383.59,BAJRA,0.01,17816.55,3,35.28,0,1,2011
26,89.99,58.97,72.85,24.47,6.16,503.21,GRAPES,0.046299,38573.65,2,48.77,4,4,2012
15,25.25,47.81,37.45,25.3,7.72,465.75,MOTHBEANS,0.022158,46149.86,3,49.77,0,0,2017
26,100.26,62.76,47.87,15.82,6.51,826.71,WHEAT,0.059948,39196.43,2,62.03,0,0,2017
28,135.39,67.19,41.26,23.42,6.45,1492.06,RICE,0.04424,19492.24,2,80.53,2,3,2020
30,102.74,69.36,43.67,20.94,6.77,821.21,WHEAT,0.033191,11449.29,4,36.67,1,0,2020
31,110.67,60.41,84.54,21.83,6.42,593.38,POTATO,0.031505,44324.72,2,79.34,0,0,2012
15,100.05,79.91,91.61,15.05,5.55,542.33,POTATO,0.039289,4567.16,4,66.75,2,1,2020
8,25.34,63.23,56.14,32.02,6.95,979.46,GROUNDNUT,0.016157,8579.81,2,71.73,0,2,2016
27,115.62,63.18,64.04,22.05,7.36,619.49,COTTON,0.040091,38964.62,1,51.48,2,0,2021
33,117.25,68.61,53.54,31.8,7.34,658.97,MAIZE,0.01,20059.88,3,54.66,1,1,2013
20,94.31,53.09,40.64,28.63,6.57,793.98,JOWAR,0.069801,49666.03,2,44.95,1,0,2014
28,133.09,71.35,69.9,20.57,6.9,1296.34,TURMERIC,0.032892,47772.14,2,67.61,4,1,2018
24,108.25,57.83,44.27,34.02,6.08,1007.43,RICE,0.058734,28783.46,3,88.04,2,2,2014
1,25.31,74.3,54.56,28.57,6.32,552.85,SOYABEAN,0.017115,23995.49,4,72.06,0,1,2015
9,101.13,59.34,46.61,23.22,5.77,810.9,RICE,0.01,40959.57,2,81.33,1,2,2019
5,83.71,53.15,70.08,18.23,6.82,406.92,ONION,0.117009,42804.69,4,48.7,3,2,2022
19,33.6,64.97,58.67,21.82,6.05,602.61,SOYABEAN,0.018119,9568.49,4,58.08,0,2,2020
23,89.56,51.71,50.29,32.71,6.96,637.08,JOWAR,0.040531,21024.9,2,46.78,0,0,2019
23,20.38,53.09,56.27,33.6,6.52,493.37,GROUNDNUT,0.012797,7653.97,1,48.68,0,4,2012
34,144.12,82.18,66.22,30.19,6.37,1916.31,BANANA,0.80213,7805.74,4,81.77,3,1,2021
7,21.51,59.68,50.14,33.74,6.28,455.3,BLACKGRAM,0.016593,11550.09,3,77.12,0,1,2015
1,103.72,63.1,49.95,28.88,6.3,1447.63,RICE,0.088026,34700.05,4,73.28,1,1,2022
29,34.52,49.07,47.64,25.1,6.89,434.23,LENTIL,0.089166,7495.76,1,42.62,1,4,2016
2,149.82,69.93,81.69,34.49,6.52,1213.72,SUGARCANE,0.293303,20366.54,4,87.45,4,3,2020
4,22.42,46.66,42.61,26.79,7.67,387.62,GRAM,0.01,40736.11,1,35.96,0,3,2022
9,128.48,60.62,50.03,24.46,6.57,1411.55,RICE,0.067647,43582.74,3,66.09,1,2,2013
16,20.67,60.23,62.96,30.65,6.14,625.7,GROUNDNUT,0.010464,23971.51,4,70.69,0,4,2013
25,35.17,71.54,47.89,23.7,6.42,976.32,SOYABEAN,0.052208,44750.39,2,60.03,0,3,2023
8,32.0,51.56,51.95,25.47,6.9,843.78,BLACKGRAM,0.051363,31352.62,1,59.62,0,3,2018
26,27.11,40.93,31.03,39.45,6.98,570.86,MOTHBEANS,0.01,36097.63,1,42.79,1,0,2020
19,23.79,50.9,53.7,33.74,7.43,460.69,BLACKGRAM,0.086626,5066.09,2,60.03,0,1,2019
19,99.85,42.34,54.83,33.73,6.12,344.19,BAJRA,0.01203,39711.52,2,38.12,0,1,2022
26,104.32,56.64,48.8,19.48,5.96,849.49,MAIZE,0.046096,14343.99,3,46.05,1,1,2012
6,24.08,59.26,46.71,29.03,6.32,444.34,BLACKGRAM,0.150516,25349.24,3,77.86,0,2,2017
12,22.43,48.45,28.13,34.94,7.05,684.64,MOTHBEANS,0.052968,48381.26,3,30.13,1,0,2016
3,127.03,60.08,90.4,24.2,6.1,574.47,POTATO,0.07933,1462.88,3,72.02,2,2,2011
5,30.07,54.5,44.45,22.32,7.18,325.02,GRAM,0.03659,40938.15,4,37.42,0,4,2013
9,137.09,63.45,51.33,23.83,7.36,633.84,MAIZE,0.038865,9107.63,4,66.43,2,3,2011
4,146.55,76.75,61.84,24.57,6.45,1273.49,BANANA,0.290708,15932.37,2,93.13,4,0,2021
35,27.09,76.48,44.62,27.5,6.14,752.95,SOYABEAN,0.035623,21956.98,1,70.9,1,4,2017
24,135.26,59.95,53.88,20.79,7.44,890.31,COTTON,0.049234,2666.27,1,45.26,3,0,2013
15,103.94,69.59,44.13,15.07,6.97,859.4,WHEAT,0.057963,13841.08,2,44.86,3,1,2011
24,29.39,54.9,63.83,23.8,6.77,770.69,GROUNDNUT,0.010275,17721.95,3,58.06,1,2,2019
1,39.44,67.83,45.79,23.15,6.62,1048.37,SOYABEAN,0.025603,15534.02,4,56.8,1,2,2014
17,132.7,65.19,40.2,24.09,6.06,998.38,RICE,0.033349,23382.43,1,65.84,2,1,2019
31,93.57,41.91,52.04,22.95,6.6,429.02,JOWAR,0.019932,17432.52,3,55.58,1,0,2012
13,97.33,54.9,51.29,27.07,6.48,339.43,BAJRA,0.026048,36948.62,3,48.15,1,0,2023
34,37.86,50.35,53.47,31.48,7.21,506.92,BLACKGRAM,0.01,47878.72,4,59.55,0,3,2022
9,158.01,73.1,65.35,29.33,7.42,1906.73,BANANA,0.50097,11544.25,1,72.0,4,0,2014
11,29.41,62.57,64.75,33.72,6.36,1080.17,GROUNDNUT,0.010551,3474.92,4,57.63,0,3,2023
17,112.26,62.73,45.29,20.81,6.31,461.37,WHEAT,0.030838,16335.95,2,37.35,1,3,2011
18,84.01,51.58,43.26,22.66,6.59,678.67,JOWAR,0.024507,13826.33,3,49.37,0,1,2017
1,84.04,50.1,54.55,25.39,7.06,255.86,BAJRA,0.01,33662.85,3,39.24,0,1,2015
1,96.43,61.52,55.57,26.35,6.85,830.31,ONION,0.298586,18469.26,1,66.35,2,1,2016
31,106.23,66.45,54.06,25.81,6.86,1345.94,RICE,0.039699,349.11,4,92.69,3,1,2021
3,132.4,53.24,44.43,23.67,6.15,1988.14,RICE,0.079626,1937.29,1,76.64,1,2,2013
2,104.37,73.24,81.96,19.01,5.82,877.77,POTATO,0.294048,11447.59,4,70.3,1,2,2011
16,159.46,70.68,66.28,25.37,6.35,1135.41,BANANA,0.453565,41484.23,2,74.2,4,0,2017
19,26.32,44.16,56.82,27.7,6.84,504.67,BLACKGRAM,0.058284,37042.13,2,55.98,2,1,2015
34,36.56,44.41,46.56,25.56,7.51,781.12,LENTIL,0.070474,8209.01,3,61.14,0,4,2012
12,25.58,46.59,47.0,29.26,7.32,609.91,BLACKGRAM,0.023245,13314.11,1,51.74,0,3,2015
29,37.2,64.86,47.37,23.0,6.43,1100.97,GROUNDNUT,0.023226,31885.24,2,64.52,0,3,2012
3,89.68,70.8,89.16,26.84,6.29,720.0,GRAPES,0.014184,24663.97,1,65.47,2,4,2023
21,138.01,67.1,80.18,34.73,6.42,1510.23,SUGARCANE,0.420068,25119.4,2,86.33,2,2,2017
31,140.62,76.71,70.08,22.17,6.11,1139.68,SUGARCANE,0.07,45765.99,4,89.17,1,0,2015
3,139.41,55.88,69.51,33.95,7.32,647.33,COTTON,0.062065,15385.25,4,50.96,0,0,2010
32,145.86,61.65,61.88,25.1,5.98,1850.41,TURMERIC,0.374953,47490.32,1,72.85,0,2,2023
12,22.39,34.96,39.95,34.71,7.39,582.35,MOTHBEANS,0.047651,44897.78,4,33.55,0,0,2022
10,32.9,65.41,56.58,21.9,6.66,1030.38,SOYABEAN,0.016275,6500.56,3,69.1,0,2,2020
19,98.15,50.68,52.4,23.73,6.56,572.13,JOWAR,0.032632,37051.79,1,30.19,0,0,2012
24,143.4,60.42,75.21,24.75,6.04,1477.65,TURMERIC,0.312158,40543.15,2,75.07,3,2,2012
34,118.55,61.1,81.5,28.43,6.84,682.79,GRAPES,0.012225,33089.6,1,47.98,4,4,2016
30,121.93,58.56,41.76,17.11,6.53,397.42,WHEAT,0.063126,26895.62,3,36.21,1,2,2015
8,144.86,67.03,69.81,28.19,6.89,1279.11,TURMERIC,0.201396,1713.63,4,87.57,2,3,2020
26,30.54,61.68,56.27,28.61,6.38,1156.92,GROUNDNUT,0.055317,14387.92,1,74.16,1,4,2020
20,26.43,50.78,62.7,28.42,6.01,722.83,GROUNDNUT,0.012086,20263.19,4,58.91,0,2,2011
8,101.39,56.16,64.29,30.08,6.8,984.98,MAIZE,0.01,41134.17,4,54.3,1,0,2017
33,25.52,55.82,30.77,17.51,6.1,481.33,LENTIL,0.01,11883.24,3,42.99,0,2,2013
14,26.27,34.78,25.86,31.72,7.52,645.65,MOTHBEANS,0.082168,37939.7,1,34.76,0,0,2020
29,88.63,42.28,47.92,26.25,6.88,570.83,JOWAR,0.039357,5915.76,3,54.56,0,0,2014
17,129.73,68.56,82.53,22.2,6.16,623.94,POTATO,0.138507,13965.05,3,70.66,2,2,2022
15,36.66,54.41,63.6,27.23,6.34,1081.95,GROUNDNUT,0.041918,14263.19,3,74.86,0,4,2017
12,21.18,53.62,47.56,26.57,7.57,431.81,LENTIL,0.088644,48683.09,2,46.31,0,3,2022
18,89.68,46.28,45.37,27.71,7.0,596.61,BAJRA,0.01,12265.72,3,40.66,0,0,2020
15,155.06,77.69,89.55,23.61,6.18,1794.34,SUGARCANE,0.644979,42520.82,1,62.02,3,2,2010
4,39.3,59.28,31.29,21.03,7.55,502.43,LENTIL,0.01,7849.74,2,42.79,0,2,2016
4,28.8,46.18,33.93,24.41,6.41,462.78,LENTIL,0.011578,32906.06,3,58.11,0,4,2022
4,90.96,69.73,74.94,26.51,7.25,561.57,GRAPES,0.033296,12463.17,2,53.95,4,3,2016
16,102.69,63.13,60.6,27.43,6.8,944.33,ONION,0.252685,26557.81,1,63.44,2,1,2015
17,33.15,55.19,43.3,18.52,6.72,652.68,GRAM,0.011486,33380.81,2,38.39,0,4,2018
14,31.19,54.26,33.19,20.28,7.89,727.95,LENTIL,0.015552,32454.1,2,69.08,1,4,2023
2,25.05,42.62,42.93,22.13,6.06,680.57,LENTIL,0.027634,38229.96,2,59.68,1,4,2011
17,106.96,63.39,45.35,24.51,7.03,530.06,WHEAT,0.019386,6787.56,1,56.57,0,0,2017
31,112.82,57.39,53.08,27.35,7.33,606.37,COTTON,0.1174,20302.91,3,65.49,2,0,2022
35,21.04,44.85,27.56,30.48,7.83,454.54,MOTHBEANS,0.01,31440.96,3,55.92,0,1,2022
29,22.5,44.7,32.62,27.57,7.3,484.65,LENTIL,0.024016,48960.92,2,49.58,1,4,2023
30,104.05,55.76,56.2,29.5,6.0,922.81,MAIZE,0.032972,839.89,3,67.74,1,0,2011
4,38.47,74.38,50.13,25.47,6.64,791.2,SOYABEAN,0.032651,8744.93,4,50.4,0,3,2012
32,96.49,65.27,79.37,27.93,6.22,430.67,GRAPES,0.037525,45245.63,2,35.53,2,4,2018
13,121.91,61.94,53.64,14.82,7.26,330.97,WHEAT,0.02536,37723.77,4,53.62,0,1,2022
30,104.28,61.23,99.5,24.67,5.65,921.51,POTATO,0.05538,33977.81,3,59.51,0,0,2021
17,24.51,55.46,40.15,29.36,7.04,524.87,BLACKGRAM,0.158949,137.58,2,57.14,0,2,2016
30,118.59,63.2,50.24,23.18,5.53,1131.78,RICE,0.038845,24753.1,4,72.67,1,1,2020
16,106.73,62.51,95.62,21.34,5.64,747.27,POTATO,0.223721,19312.39,2,64.58,1,0,2010
5,114.89,69.22,71.52,31.28,7.21,336.82,GRAPES,0.037693,25240.69,1,50.71,4,4,2011
15,23.43,66.67,56.64,22.92,6.24,670.87,GROUNDNUT,0.01,24200.94,2,62.13,0,4,2015
22,111.02,68.58,54.41,20.33,7.74,433.51,COTTON,0.051526,43013.35,3,50.64,1,1,2014
26,38.39,41.32,54.97,32.71,6.38,565.42,BLACKGRAM,0.077522,42641.04,4,78.76,0,0,2018
2,24.82,56.07,43.41,25.65,6.95,515.92,GRAM,0.013869,30117.11,4,50.37,0,3,2020
4,122.24,59.81,51.01,25.26,7.52,1011.41,COTTON,0.12796,22805.83,2,60.44,1,0,2019
2,115.99,79.12,83.04,17.04,6.06,622.51,POTATO,0.1168,6268.04,4,52.78,2,1,2011
1,93.96,62.71,62.36,24.9,7.36,403.56,ONION,0.170469,13458.13,1,56.46,0,0,2010
1,98.68,44.91,42.04,31.35,7.3,215.25,BAJRA,0.034893,38830.96,2,51.36,0,0,2018
18,121.86,56.33,56.76,19.4,6.41,1004.47,MAIZE,0.034202,36925.13,2,66.46,1,3,2013
20,130.63,67.63,59.14,33.83,7.33,594.9,COTTON,0.048572,4360.86,4,49.3,2,0,2010
1,25.36,69.09,49.86,24.08,6.93,758.34,SOYABEAN,0.01,39584.58,1,55.44,0,3,2017
19,154.58,69.72,66.5,28.06,6.32,994.58,BANANA,0.921657,49462.5,3,67.14,4,0,2013
