N,P,K,temperature,humidity,ph,rainfall,label,yield
92.1,37.2,47.0,20.9,90.0,6.89,265.8,rice,4.91
61.6,36.1,32.5,27.6,88.6,6.45,277.7,rice,3.2
67.7,38.1,44.2,34.7,85.3,5.58,242.4,rice,3.09
88.4,35.2,31.8,22.8,94.5,6.19,267.6,rice,4.63
65.8,58.4,36.0,28.7,87.5,6.47,291.1,rice,3.35
76.2,44.2,32.4,22.0,77.0,5.96,214.2,rice,4.52
76.5,42.3,34.4,28.8,77.9,5.55,212.8,rice,4.32
82.9,47.0,44.0,29.7,86.3,5.97,268.1,rice,4.23
85.0,40.8,40.3,31.1,92.2,6.88,225.5,rice,4.2
72.6,55.1,39.9,21.7,71.8,6.76,158.3,rice,3.76
66.9,39.4,44.9,20.2,90.7,6.78,205.8,rice,3.29
64.8,40.9,49.2,34.9,89.3,5.97,253.1,rice,4.73
85.6,30.3,34.2,27.9,74.1,5.75,275.4,rice,5.35
93.6,59.7,32.8,26.7,79.8,5.62,263.3,rice,4.28
66.0,35.4,48.1,20.7,75.8,5.94,223.5,rice,4.17
63.4,37.3,46.9,29.6,86.2,6.51,264.4,rice,3.02
81.6,40.2,46.9,27.2,89.2,6.78,225.7,rice,5.18
94.0,40.2,40.0,28.0,72.6,6.1,287.6,rice,4.48
73.6,35.7,30.5,33.9,81.2,5.96,239.8,rice,3.05
88.1,49.0,49.6,29.3,81.9,6.64,285.5,rice,4.66
91.3,56.0,32.3,31.0,81.0,6.33,248.1,rice,5.27
71.5,52.0,45.0,25.2,73.1,5.56,266.6,rice,4.33
78.6,59.3,38.2,31.9,72.1,6.33,270.3,rice,5.41
61.5,41.2,31.0,21.6,86.9,6.57,266.1,rice,5.0
92.0,31.5,34.7,29.3,91.5,5.51,227.2,rice,4.75
76.1,56.9,43.4,23.6,91.3,6.02,278.0,rice,3.51
75.9,38.2,47.7,22.8,72.1,6.01,257.6,rice,5.28
71.9,42.2,32.7,28.6,94.9,6.55,239.3,rice,3.93
79.9,34.0,37.3,21.0,75.0,5.53,218.0,rice,4.74
76.8,58.8,45.0,28.1,77.1,6.85,185.3,rice,3.87
81.2,52.3,41.8,29.8,77.5,5.86,198.4,rice,3.69
82.5,53.8,45.7,26.6,81.9,6.99,251.2,rice,4.97
91.5,35.6,41.2,21.5,86.3,6.93,226.9,rice,4.2
98.4,33.1,30.8,23.7,71.6,6.18,227.4,rice,3.75
64.5,41.5,31.2,30.5,75.2,5.95,209.1,rice,4.04
64.5,55.9,30.0,27.6,82.2,6.0,214.7,rice,4.82
70.4,39.7,34.8,27.2,87.1,5.84,199.6,rice,5.18
78.4,51.3,33.0,20.7,73.5,6.88,151.4,rice,3.57
64.4,48.6,34.8,28.5,84.8,6.77,150.7,rice,5.36
66.5,53.2,47.1,23.8,93.0,6.18,240.5,rice,5.6
92.5,39.6,46.0,29.0,75.4,6.12,197.6,rice,3.24
73.9,30.6,33.3,30.9,87.7,6.61,197.6,rice,5.39
65.0,34.3,43.9,22.6,82.7,6.99,150.6,rice,3.27
83.4,33.8,47.9,33.2,83.4,6.43,191.0,rice,2.97
71.8,49.9,46.7,20.3,84.9,5.85,281.1,rice,3.53
82.1,41.9,43.6,30.9,84.2,6.64,297.5,rice,4.08
60.5,53.9,40.4,26.1,72.4,6.83,209.3,rice,4.74
98.5,35.4,34.0,32.9,92.8,5.82,220.5,rice,4.84
75.2,45.5,44.8,31.0,89.6,6.35,165.7,rice,5.17
91.9,33.0,34.1,31.2,70.6,6.97,206.6,rice,4.79
75.8,39.6,42.2,28.7,80.2,6.4,290.3,rice,4.28
75.1,41.8,32.6,22.4,87.1,6.01,293.2,rice,3.43
90.1,56.4,35.6,23.0,74.6,6.28,220.3,rice,3.68
59.3,58.8,33.1,18.4,52.8,6.38,79.5,wheat,4.03
76.1,59.5,39.6,24.4,51.8,6.21,80.4,wheat,3.36
73.8,48.5,30.8,14.1,56.3,6.24,135.2,wheat,3.58
51.8,41.1,28.1,21.9,69.3,6.31,144.2,wheat,2.72
44.0,37.9,36.9,14.3,60.3,6.67,74.5,wheat,4.04
75.0,40.2,30.6,15.2,56.1,6.24,144.0,wheat,4.22
60.7,44.7,30.6,19.0,60.9,6.2,62.6,wheat,4.52
78.1,34.9,31.1,14.7,56.3,6.05,61.9,wheat,4.42
64.3,44.0,28.0,18.9,54.7,7.48,131.8,wheat,3.81
46.1,57.6,26.8,12.7,58.6,7.19,112.3,wheat,4.04
48.5,57.7,28.8,20.3,50.1,7.49,78.1,wheat,2.72
45.2,34.6,32.6,17.1,73.0,6.48,122.6,wheat,3.38
64.0,44.2,39.0,16.5,54.4,7.02,134.6,wheat,2.44
75.7,52.5,39.8,18.9,66.5,6.45,144.8,wheat,3.36
56.1,46.9,34.4,18.6,72.7,6.63,114.7,wheat,3.14
57.6,33.8,21.8,20.7,66.4,6.99,52.0,wheat,3.3
71.1,55.8,24.9,20.7,53.2,6.41,63.9,wheat,3.1
76.4,36.1,30.8,21.1,73.8,6.92,75.5,wheat,3.86
79.0,42.0,33.7,12.3,60.0,7.31,111.0,wheat,3.47
74.2,39.7,30.9,18.4,65.8,6.5,74.4,wheat,4.38
73.7,59.3,34.9,21.9,69.1,6.72,95.6,wheat,3.0
51.6,37.7,31.7,17.3,55.5,7.22,136.1,wheat,2.83
53.4,53.9,36.8,13.8,69.4,6.17,89.0,wheat,4.41
46.2,42.7,32.4,24.1,74.5,6.1,63.8,wheat,4.09
75.4,49.9,22.2,22.8,54.4,6.64,105.2,wheat,3.58
66.1,59.8,40.0,18.7,52.4,7.09,147.7,wheat,3.25
57.0,31.5,33.4,16.6,69.7,7.25,132.1,wheat,3.42
70.0,54.0,29.8,23.6,53.6,7.32,59.6,wheat,2.84
42.7,31.6,20.0,17.7,69.4,6.05,115.2,wheat,4.14
45.9,55.8,36.5,19.0,70.5,6.14,89.4,wheat,3.98
70.1,45.1,35.0,18.0,59.2,6.33,70.8,wheat,4.07
43.4,35.3,23.5,22.7,60.0,7.49,63.7,wheat,3.88
55.7,56.3,39.5,23.3,54.8,6.33,115.6,wheat,2.93
62.7,46.5,36.6,21.2,50.7,6.07,110.2,wheat,3.46
56.7,52.7,36.5,19.3,59.6,6.41,102.2,wheat,3.21
67.1,32.0,20.0,14.8,72.4,6.97,67.2,wheat,4.43
59.0,58.1,21.2,14.8,64.6,6.29,118.0,wheat,2.82
48.3,42.7,23.5,13.8,71.5,6.48,86.1,wheat,2.84
50.6,48.3,24.1,23.5,73.2,6.15,60.7,wheat,2.51
44.9,55.6,35.1,22.7,63.2,7.5,54.4,wheat,3.38
77.9,47.3,36.1,14.2,74.5,6.75,99.4,wheat,4.45
55.9,47.5,22.6,16.2,54.8,6.15,136.6,wheat,3.85
56.3,42.9,32.7,24.0,73.3,6.59,82.9,wheat,3.55
58.5,49.8,31.1,16.2,58.6,6.57,59.5,wheat,2.93
55.6,36.4,31.3,21.8,56.4,7.24,142.8,wheat,3.75
42.1,58.4,27.8,24.0,64.5,6.01,53.9,wheat,3.9
41.1,52.3,37.0,18.5,61.6,6.01,128.7,wheat,3.16
54.9,47.0,25.4,14.1,69.4,6.74,103.6,wheat,4.27
74.2,35.6,31.9,23.4,59.4,6.15,131.1,wheat,3.44
79.3,48.2,28.5,16.8,60.4,6.18,129.5,wheat,4.22
52.2,56.2,20.5,18.8,61.6,7.04,66.3,wheat,3.83
64.7,31.2,29.2,18.8,55.4,6.21,68.8,wheat,3.08
77.9,42.1,36.2,24.7,52.0,6.98,137.1,wheat,3.69
57.2,31.1,30.7,24.9,74.0,6.06,120.6,wheat,3.09
41.8,58.1,36.7,13.5,51.5,7.25,65.6,wheat,3.52
62.7,41.9,28.9,12.8,74.2,6.47,68.9,wheat,2.96
43.8,56.0,34.2,22.8,74.4,7.26,144.3,wheat,2.79
61.8,46.3,38.0,24.6,67.6,6.72,95.6,wheat,3.1
55.7,32.7,21.5,22.1,61.2,7.4,111.2,wheat,2.62
48.2,59.3,24.4,18.7,73.4,7.47,73.6,wheat,2.58
42.5,35.9,31.4,23.9,63.4,6.94,70.2,wheat,4.32
74.6,58.5,27.0,13.2,55.6,6.66,144.6,wheat,3.23
61.6,35.5,26.4,20.5,66.8,6.65,72.9,wheat,4.02
77.5,35.6,22.1,18.5,63.0,6.76,93.7,wheat,4.36
59.1,42.7,21.3,19.7,55.7,6.96,55.1,wheat,4.61
75.9,44.3,21.2,22.7,66.2,7.17,92.8,wheat,4.01
65.2,40.4,33.3,20.7,74.0,6.56,92.5,wheat,4.13
69.5,43.8,24.3,21.7,53.3,6.3,112.7,wheat,3.98
50.9,33.3,39.1,14.0,54.9,6.44,102.9,wheat,4.3
68.3,35.3,27.2,18.2,53.7,6.41,80.8,wheat,2.69
68.2,32.1,29.6,22.2,68.7,7.22,94.8,wheat,4.08
54.4,35.3,29.3,17.1,56.0,7.13,81.4,wheat,3.05
57.6,39.1,27.4,15.1,69.1,7.4,99.8,wheat,3.59
80.0,48.4,37.8,23.8,69.8,6.69,58.1,wheat,2.32
59.8,42.2,31.4,19.2,70.9,6.16,72.5,wheat,3.92
79.8,56.2,37.8,16.1,60.0,6.4,110.6,wheat,4.2
62.3,38.9,23.4,14.5,51.4,7.42,90.3,wheat,4.11
47.7,35.3,36.2,15.4,72.8,6.21,117.8,wheat,4.03
51.0,58.9,25.3,17.6,60.8,6.38,127.6,wheat,4.04
73.4,36.4,20.1,19.4,74.9,6.06,70.8,wheat,3.59
43.6,41.9,34.9,16.8,54.7,6.29,91.0,wheat,3.32
65.7,50.7,39.7,17.4,60.1,7.39,74.6,wheat,3.95
43.9,44.0,24.0,14.4,61.6,6.43,129.6,wheat,4.28
50.6,38.2,25.1,13.8,73.6,6.6,72.5,wheat,4.23
41.4,34.9,32.8,22.2,55.3,7.38,135.1,wheat,4.36
42.0,56.0,26.1,20.0,69.0,6.19,128.1,wheat,4.2
57.6,56.3,30.5,21.7,70.5,7.12,78.8,wheat,2.59
60.1,45.2,31.7,17.1,69.7,7.37,74.7,wheat,3.93
60.9,35.7,35.9,24.5,68.0,7.38,148.4,wheat,3.19
59.0,59.6,21.9,17.4,71.9,6.43,128.8,wheat,3.11
75.3,39.0,35.4,16.4,65.2,6.99,133.0,wheat,2.4
68.5,46.9,29.9,12.7,58.7,7.3,53.1,wheat,3.38
42.0,52.5,25.2,23.3,68.7,7.33,71.6,wheat,3.52
49.8,36.9,20.5,24.5,67.8,6.95,124.4,wheat,3.75
58.0,49.2,24.0,23.5,70.3,6.52,107.9,wheat,2.68
76.1,57.7,26.6,14.2,55.3,6.14,62.0,wheat,2.83
43.0,34.0,36.5,19.5,69.4,6.95,138.2,wheat,3.76
68.5,43.4,26.9,18.1,54.2,7.19,76.1,wheat,2.95
73.7,39.9,33.7,23.1,51.9,7.15,80.8,wheat,2.86
76.4,38.9,31.4,15.8,63.9,6.93,111.0,wheat,3.75
101.6,58.6,40.5,19.0,66.2,6.32,72.1,maize,3.94
104.6,43.3,44.9,25.6,74.0,6.45,129.9,maize,5.09
89.5,53.5,38.1,28.3,56.8,6.53,127.4,maize,5.89
88.1,68.7,33.5,20.5,60.4,5.69,60.1,maize,4.54
104.0,36.1,37.1,20.2,78.5,5.83,147.7,maize,4.28
84.7,61.6,26.9,30.7,67.5,7.01,179.0,maize,5.75
77.2,43.8,27.9,26.2,79.8,7.48,133.7,maize,4.83
116.0,42.1,35.9,29.7,62.6,6.38,198.0,maize,5.93
107.9,44.4,29.6,25.7,69.0,6.51,149.1,maize,4.71
80.0,46.6,23.8,20.6,76.3,6.39,91.9,maize,5.26
61.3,46.1,25.3,27.2,61.9,5.63,67.7,maize,4.93
110.9,40.4,38.2,24.2,66.1,5.64,172.4,maize,5.75
70.7,66.6,36.5,20.1,60.1,6.82,161.5,maize,4.87
89.6,45.5,34.3,23.0,60.6,5.59,109.3,maize,5.29
86.4,57.5,38.3,28.9,75.3,6.92,74.4,maize,4.55
74.7,36.5,26.7,24.4,65.3,5.85,175.4,maize,5.95
115.8,35.6,47.7,31.3,55.3,7.03,195.8,maize,5.67
93.0,37.7,45.5,26.6,70.4,6.33,140.1,maize,3.7
64.5,60.5,45.5,24.6,67.7,6.12,195.7,maize,5.44
70.5,42.7,33.9,31.2,73.4,5.93,180.3,maize,4.3
74.5,56.7,47.8,21.6,72.3,7.47,81.1,maize,3.63
80.4,37.5,34.3,28.6,62.1,6.17,178.4,maize,4.67
86.8,68.4,39.5,19.6,77.1,6.48,79.8,maize,3.79
62.8,45.0,24.2,24.2,65.4,6.54,99.1,maize,3.79
82.4,57.8,23.3,18.2,61.2,6.41,115.2,maize,5.53
91.8,55.8,20.7,25.2,63.6,6.34,74.0,maize,5.53
61.3,56.0,42.9,22.0,74.7,6.76,190.1,maize,5.9
86.7,54.1,24.4,22.7,79.7,5.53,123.4,maize,5.68
88.8,69.2,34.2,19.8,56.3,7.39,97.2,maize,4.68
85.4,67.6,35.1,31.6,61.5,6.51,180.3,maize,4.69
111.3,48.6,35.9,31.7,59.7,6.1,64.3,maize,4.57
100.8,41.3,40.2,21.7,63.9,6.2,160.3,maize,4.49
111.2,55.0,26.4,30.6,63.6,5.58,129.2,maize,4.17
104.8,39.6,44.2,31.1,70.2,6.92,159.9,maize,6.2
69.8,53.2,36.0,20.5,70.3,5.53,189.9,maize,4.12
66.5,43.4,28.2,18.5,62.0,5.89,113.0,maize,4.19
79.7,38.1,20.8,20.8,73.9,7.48,190.0,maize,4.7
78.9,62.1,42.9,29.8,77.4,6.37,167.4,maize,5.62
115.8,38.3,49.8,28.8,57.3,6.81,64.8,maize,5.36
96.1,65.0,22.9,21.9,65.4,5.58,122.8,maize,4.22
85.5,65.8,28.1,30.5,65.6,6.16,130.4,maize,4.55
90.2,40.3,30.6,25.9,65.3,7.15,95.9,maize,5.88
118.1,64.3,24.3,25.4,59.2,7.14,141.8,maize,4.12
66.9,54.7,41.6,18.8,69.9,7.13,69.5,maize,4.77
99.8,39.2,48.1,30.5,59.6,6.15,142.3,maize,5.2
69.4,38.6,50.0,24.4,76.8,6.46,189.1,maize,4.07
115.8,68.2,29.4,23.0,66.3,6.33,86.6,maize,5.75
102.3,37.4,21.2,27.2,63.5,6.81,73.2,maize,5.66
112.6,39.8,29.6,23.2,68.4,6.09,68.5,maize,4.43
83.2,41.9,27.9,26.8,64.7,6.19,134.7,maize,5.44
95.3,68.8,35.7,30.7,74.8,5.62,120.1,maize,5.37
87.5,38.2,36.9,19.8,73.8,6.52,161.3,maize,5.68
96.7,61.4,45.3,30.2,55.9,6.61,90.3,maize,5.69
85.2,41.6,30.2,27.9,60.1,5.69,184.3,maize,5.3
77.5,69.0,41.2,26.5,62.7,6.1,65.5,maize,5.23
60.3,60.5,48.5,28.6,66.8,6.47,121.1,maize,4.35
85.9,55.9,46.9,31.9,57.0,6.27,85.3,maize,4.48
70.5,61.7,34.9,30.9,55.8,5.63,116.5,maize,3.72
119.2,42.3,25.9,26.0,67.4,6.66,112.7,maize,5.6
85.7,59.1,46.0,23.2,69.2,5.64,83.8,maize,3.82
77.3,60.3,22.0,30.1,75.9,5.68,63.3,maize,3.53
74.1,54.2,32.8,29.1,67.2,6.5,198.5,maize,3.98
63.1,51.7,46.6,27.3,72.1,6.03,118.6,maize,4.38
87.7,46.4,29.2,21.5,64.1,5.8,182.1,maize,5.03
101.6,64.7,27.1,20.1,55.2,5.59,166.7,maize,6.07
104.9,37.5,37.8,28.6,64.0,5.52,143.3,maize,5.96
71.4,39.3,36.7,26.4,74.8,7.01,185.0,maize,5.24
93.4,45.4,29.9,31.0,72.0,7.45,118.4,maize,5.16
66.4,43.3,35.8,18.9,78.3,5.75,87.7,maize,5.61
114.0,60.4,22.1,27.7,70.8,7.01,175.9,maize,5.1
79.3,59.4,48.7,26.2,71.6,6.37,165.9,maize,6.08
72.1,53.9,34.4,26.0,56.2,6.31,141.6,maize,4.91
103.2,57.5,43.7,26.7,68.4,6.71,74.2,maize,4.14
112.4,58.8,22.7,26.3,60.5,6.97,175.8,maize,4.89
80.3,50.6,45.9,28.1,68.0,6.24,67.1,maize,4.0
82.4,68.0,35.2,21.3,57.6,6.18,174.2,maize,4.43
108.2,38.9,38.3,31.4,65.1,5.6,189.3,maize,5.78
93.1,42.4,44.6,25.0,55.8,6.87,193.1,maize,5.51
63.2,67.9,48.1,25.5,71.1,6.43,118.8,maize,3.56
74.0,64.3,24.4,21.2,68.7,5.93,82.8,maize,4.99
97.6,66.9,24.5,30.8,77.6,7.16,148.4,maize,5.08
101.4,35.6,48.7,26.2,74.5,6.25,61.7,maize,4.79
86.2,46.9,27.5,25.4,64.4,7.44,84.2,maize,4.2
92.6,52.5,39.3,31.3,62.1,6.89,63.5,maize,4.28
61.9,56.6,40.3,28.5,67.9,6.71,115.4,maize,3.82
99.3,69.8,20.5,25.8,73.8,7.15,136.3,maize,5.02
111.5,39.3,47.8,18.4,75.9,5.65,87.2,maize,3.46
80.1,40.8,33.5,23.6,74.2,7.29,151.4,maize,3.7
114.8,38.1,32.2,31.2,78.8,6.32,153.4,maize,4.64
61.9,40.0,38.4,21.3,71.7,6.2,184.1,maize,5.29
106.4,44.5,34.8,20.8,76.5,7.15,186.3,maize,5.86
73.7,67.6,37.1,23.9,69.0,6.19,100.4,maize,4.18
89.8,66.1,38.9,25.3,65.7,6.43,89.3,maize,5.43
103.0,61.6,37.2,30.1,62.3,7.26,162.1,maize,5.57
110.8,69.8,32.6,29.4,73.6,6.41,189.8,maize,4.25
66.4,42.9,45.2,23.6,64.9,5.99,128.8,maize,5.49
64.2,55.1,34.0,26.6,66.2,6.3,126.1,maize,4.95
88.3,63.6,42.4,22.8,75.0,7.21,81.5,maize,4.94
104.4,43.4,40.1,21.6,67.8,7.4,113.4,maize,5.83
112.5,40.8,44.6,18.5,64.8,7.24,156.4,maize,4.82
52.5,68.4,34.1,28.9,65.7,6.17,137.1,soybean,3.34
30.0,45.6,45.8,22.3,72.6,6.99,61.5,soybean,2.59
52.3,54.2,32.3,21.7,78.5,6.78,76.4,soybean,2.26
20.1,52.0,36.7,23.3,66.8,6.46,81.8,soybean,2.72
43.0,43.7,45.3,21.7,79.1,6.36,153.9,soybean,1.93
39.9,41.3,26.8,27.2,80.9,6.08,165.8,soybean,3.23
47.9,67.0,35.8,26.5,83.0,6.1,97.9,soybean,1.76
37.8,67.0,45.2,29.9,64.0,6.8,166.5,soybean,1.59
34.2,65.9,35.4,22.6,63.4,6.12,72.4,soybean,2.9
28.7,67.7,40.6,25.4,83.4,6.39,160.3,soybean,1.53
59.5,73.9,37.4,26.3,68.8,6.68,152.4,soybean,3.64
22.5,63.8,23.6,22.4,68.2,6.73,82.1,soybean,1.81
54.9,67.7,21.2,20.3,74.0,6.28,131.6,soybean,2.43
31.5,67.2,21.6,29.6,84.5,6.74,115.8,soybean,1.87
49.5,48.9,33.5,24.6,80.7,6.68,137.2,soybean,2.76
34.9,41.8,43.6,24.3,71.0,6.25,85.1,soybean,2.78
22.6,70.7,31.3,23.8,70.8,6.82,98.5,soybean,2.94
46.4,57.3,42.4,24.6,70.4,6.53,98.1,soybean,1.68
25.0,56.4,36.7,29.3,60.9,6.62,114.9,soybean,1.4
28.7,51.0,32.0,25.3,60.0,6.16,71.2,soybean,2.67
41.9,48.9,20.7,29.4,62.7,6.13,77.6,soybean,3.66
44.4,79.5,22.7,29.7,65.1,6.62,110.4,soybean,2.32
26.0,79.9,31.4,26.5,84.2,6.06,170.7,soybean,2.53
26.0,61.3,40.2,24.6,63.9,6.24,162.5,soybean,1.49
60.0,40.3,24.8,26.7,61.5,6.59,142.1,soybean,2.98
47.9,63.8,26.2,25.6,82.0,6.67,116.6,soybean,2.04
29.8,40.4,49.6,22.2,80.4,6.17,94.0,soybean,2.43
51.9,78.3,46.3,21.5,79.4,6.15,169.6,soybean,2.45
26.3,40.5,27.4,29.1,79.9,6.97,72.1,soybean,2.69
41.7,52.8,28.5,25.7,64.6,6.47,138.1,soybean,1.87
40.2,72.8,39.6,27.1,77.9,6.88,133.6,soybean,2.25
44.3,42.7,27.2,20.6,73.7,6.16,133.2,soybean,3.01
32.4,62.0,36.9,24.7,76.4,6.21,177.5,soybean,1.8
43.8,49.8,42.4,20.8,79.4,6.59,73.3,soybean,1.66
31.7,75.6,42.9,27.0,67.0,6.71,173.8,soybean,1.76
29.4,55.7,42.3,24.7,74.3,6.31,77.0,soybean,2.23
44.1,55.1,43.7,20.6,66.3,6.23,178.2,soybean,3.12
20.2,47.4,39.1,23.8,83.1,6.76,113.7,soybean,2.86
38.4,65.7,47.6,22.5,82.2,6.1,137.8,soybean,2.93
39.8,64.7,24.5,22.2,66.7,6.6,113.0,soybean,1.98
35.0,57.8,32.3,21.8,78.3,6.45,62.0,soybean,3.5
48.9,74.8,47.2,23.4,75.3,6.61,92.1,soybean,2.18
46.4,71.2,42.8,23.2,65.1,6.45,125.6,soybean,3.13
58.6,58.6,21.4,20.8,69.8,6.26,80.4,soybean,3.27
58.4,70.4,39.2,26.8,68.3,6.65,82.4,soybean,3.39
30.2,68.4,39.7,24.5,75.8,6.16,140.8,soybean,2.0
26.5,53.3,29.9,24.5,64.8,6.19,125.0,soybean,1.71
57.8,57.1,47.0,21.0,61.1,6.72,151.3,soybean,3.2
51.1,55.1,29.1,21.7,84.9,6.06,159.2,soybean,2.62
48.5,74.3,25.5,20.0,75.0,6.35,74.9,soybean,1.76
22.8,42.3,47.5,23.1,84.6,6.96,77.1,soybean,3.05
47.6,43.8,25.7,20.8,75.1,6.99,140.6,soybean,2.98
47.1,41.6,46.0,23.6,60.1,6.51,172.4,soybean,1.89
27.0,42.3,22.4,27.3,81.6,6.14,94.6,soybean,1.87
42.1,68.0,39.4,23.9,73.9,6.09,78.5,soybean,3.36
56.9,76.7,39.5,29.3,70.4,6.0,67.5,soybean,1.61
34.1,68.1,43.7,25.9,63.7,6.75,102.6,soybean,1.55
33.2,51.0,44.4,27.6,77.4,6.14,156.9,soybean,2.9
45.9,59.3,33.2,21.1,73.0,6.1,79.7,soybean,1.82
31.4,54.2,29.7,29.0,74.1,6.92,96.0,soybean,1.84
33.8,72.1,46.4,24.7,84.3,6.55,92.5,soybean,2.52
52.2,44.1,29.3,25.7,61.1,6.08,143.5,soybean,1.61
33.5,49.1,25.7,27.6,83.8,6.14,175.2,soybean,2.67
48.4,68.2,44.6,24.8,73.3,6.32,72.6,soybean,2.88
31.0,43.8,25.7,26.4,75.7,6.42,70.8,soybean,2.41
48.8,63.2,34.7,24.9,84.2,6.76,119.6,soybean,2.48
57.7,52.8,27.7,30.0,78.0,6.05,67.4,soybean,1.7
22.9,77.3,48.1,25.5,75.4,6.29,67.7,soybean,3.09
23.4,52.4,20.4,24.3,77.7,6.8,132.5,soybean,3.21
54.0,60.3,26.7,29.4,66.9,6.03,89.1,soybean,2.15
41.0,75.3,28.8,25.2,68.5,6.82,78.9,soybean,1.7
46.9,71.8,37.7,27.7,69.8,6.03,73.9,soybean,1.67
39.8,54.3,36.8,24.8,76.9,6.67,98.2,soybean,2.29
43.9,52.6,29.9,26.9,76.2,6.14,112.9,soybean,3.23
54.2,46.5,35.2,24.2,60.3,6.92,114.6,soybean,3.51
54.7,76.9,36.7,22.0,77.1,6.55,173.3,soybean,2.36
25.5,67.9,49.2,20.3,78.5,6.93,69.0,soybean,1.69
45.9,42.8,45.0,25.2,82.7,6.88,157.5,soybean,2.53
40.2,44.0,39.8,21.3,72.8,6.05,95.9,soybean,1.8
51.5,42.3,45.5,28.6,68.6,6.66,108.3,soybean,1.86
23.5,75.1,47.7,28.2,74.1,6.56,178.2,soybean,2.12
42.5,53.2,29.7,20.1,74.9,6.26,82.5,soybean,1.45
55.2,53.5,40.4,27.6,68.2,6.82,143.0,soybean,2.62
21.4,79.6,43.5,29.4,82.6,6.02,155.0,soybean,2.34
20.3,51.5,42.5,27.9,75.5,6.3,97.2,soybean,3.35
37.9,62.1,32.3,25.5,70.8,6.83,169.1,soybean,3.45
37.7,68.2,45.1,25.6,77.5,6.75,141.2,soybean,3.04
39.9,63.5,20.1,28.6,75.3,6.13,158.0,soybean,2.94
35.7,74.2,32.4,25.7,60.0,6.64,146.2,soybean,2.92
52.4,67.3,28.3,29.6,77.7,6.99,176.6,soybean,3.35
44.4,46.9,36.3,27.7,73.0,6.87,73.2,soybean,2.27
37.3,44.3,24.6,28.4,72.1,6.05,62.0,soybean,2.52
